Time,ID,Lat,Lon,Alt,"#WIFI Networks",SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10
2017-12-01 10:42:54,SM-G950F,32.17224246105308,34.8144489381276,7.777438959165592,1,Eldad_2EX,80:1f:02:e8:b9:cc,11,-81
2017-12-01 10:43:00,SM-G950F,32.172238019565235,34.81444473498782,10.580361150029846,1,Efrat,b4:ee:b4:86:c0:f1,11,-74
2017-12-01 10:43:06,SM-G950F,32.172252019523675,34.814391891326764,17.18081811626479,1,angela,80:1f:02:f5:d8:e8,1,-89
2017-12-01 10:43:18,SM-G950F,32.172265215924426,34.81421445142988,22.818991521293682,1,KarvatB0.5,14:ae:db:cc:ed:6d,48,-89
2017-12-01 10:43:29,SM-G950F,32.1723485161587,34.81363858823374,24.55807198020147,1,Bezeq Free GA32E3,52:b0:ce:ac:32:98,1,-80
2017-12-01 10:43:31,Lenovo PB2-690Y,32.17237425,34.81350895,46.0,1,lellouche,a4:2b:b0:ad:2d:34,5,-93
2017-12-01 10:43:33,SM-G950F,32.17238058500455,34.81341290942063,25.130925493340825,1,dobry2016,6c:b0:ce:ac:32:9b,1,-69
2017-12-01 10:43:34,Lenovo PB2-690Y,32.17238884,34.81333642,45.0,1,Mevohot_1,20:0c:c8:1b:a2:48,6,-95
2017-12-01 10:43:37,Lenovo PB2-690Y,32.17241727,34.81315388,44.0,3,DIR-825-4f83,80:26:89:0d:4f:84,1,-73,Mevohot_3,60:e3:27:e8:41:e8,11,-86,sellahome_2EX,74:da:38:14:1f:8d,9,-82
2017-12-01 10:43:37,SM-G950F,32.17241155333384,34.81318688512261,25.941801984532795,2,DIR-825-4f83,80:26:89:0d:4f:84,1,-66,Partner,42501_13111_7943940,0,-105
2017-12-01 10:43:41,SM-G950F,32.17244042298214,34.81295646141121,26.35851917429424,1,DIR-825-4f83,80:26:89:0d:4f:84,1,-57
2017-12-01 10:43:43,Lenovo PB2-690Y,32.17246651,34.81278713,48.0,2,ELDAD,10:0d:7f:80:17:80,11,-73,BezeqFree,06:ae:db:c1:ad:7d,1,-87
2017-12-01 10:43:45,SM-G950F,32.17248344093608,34.81270507338805,27.122038414759338,2,ELDAD,10:0d:7f:80:17:80,11,-78,Eldad_2EX,80:1f:02:e8:b9:cc,11,-82
2017-12-01 10:43:49,Lenovo PB2-690Y,32.17253749,34.81242555,48.0,1,HOTBOX1234,30:b5:c2:6e:12:d4,1,-82
2017-12-01 10:43:52,Lenovo PB2-690Y,32.17255033,34.81224372,51.0,1,varda,c4:12:f5:85:27:c2,1,-95
